timestamp: 2021-05-30T12:15:06Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:08Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:09Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:10Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:12Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:13Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:14Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:15Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:16Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:17Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:18Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:19Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:20Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:22Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:23Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:24Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:25Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:26Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:27Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:28Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:31Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:32Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:33Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:34Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:15:36Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:37Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:38Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:39Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:41Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:44Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:45Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:46Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:47Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:49Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:50Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:51Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:52Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:54Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:55Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:56Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:57Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:58Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:15:59Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:00Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:01Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:03Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:04Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:05Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:06Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:07Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:11Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:12Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:13Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:14Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:16Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:17Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:18Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:19Z, humidity: 31.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:16:21Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:22Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:23Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:24Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:25Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:26Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:27Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:28Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:32Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:33Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:34Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:35Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:36Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:37Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:38Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:39Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:40Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:41Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:42Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:44Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:45Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:46Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:47Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:48Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:50Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:52Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:53Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:54Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:55Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:57Z, humidity: 31.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:16:58Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:16:59Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:01Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:02Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:03Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:04Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:05Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:06Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:07Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:09Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:11Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:12Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:13Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:14Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:15Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:16Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:17Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:18Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:21Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:22Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:23Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:25Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:26Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:27Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:28Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:29Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:30Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:31Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:33Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:34Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:35Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:36Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:38Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:39Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:41Z, humidity: 31.0 %,  Temperature: 25.0 C`
timestamp: 2021-05-30T12:17:43Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:17:44Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:17:45Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:17:46Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:17:47Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:17:48Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:17:49Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:17:50Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:17:52Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:17:53Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:17:54Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:17:55Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:17:57Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:17:58Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:17:59Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:18:00Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:18:01Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:18:02Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:18:03Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:18:04Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:18:07Z, humidity: 30.0 %,  Temperature: 24.9 C`
timestamp: 2021-05-30T12:18:10Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:11Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:12Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:13Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:14Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:15Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:19Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:20Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:21Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:22Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:23Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:24Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:25Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:26Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:27Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:28Z, humidity: 30.0 %,  Temperature: 24.8 C`
timestamp: 2021-05-30T12:18:29Z, humidity: 30.0 %,  Temperature: 24.8 C`
